state,percentile,income
Melaka,35,5525
Melaka,36,5603
Melaka,37,5711
Melaka,38,5797
Melaka,39,5842
Melaka,40,5897
Melaka,41,5976
Melaka,42,6040
Melaka,43,6170
Melaka,44,6269
Melaka,45,6369
Melaka,46,6455
Melaka,47,6573
Melaka,48,6713
Melaka,49,6780
Melaka,50,6849
Melaka,51,6935
Melaka,52,7100
Melaka,53,7213
Melaka,54,7330
Melaka,55,7455
Melaka,56,7580
Melaka,57,7686
Melaka,58,7809
Melaka,59,7912
Melaka,60,8038
Melaka,61,8154
Melaka,62,8296
Melaka,63,8459
Melaka,64,8594
Melaka,65,8740
Melaka,66,8860
Melaka,67,9062
Melaka,68,9170
Melaka,69,9316
Melaka,70,9445
Melaka,71,9690
Melaka,72,9869
Melaka,73,10068
Melaka,74,10229
Melaka,75,10373
Melaka,76,10568
Melaka,77,10815
Melaka,78,11021
Melaka,79,11244
Melaka,80,11472
Melaka,81,11948
Melaka,82,12292
Melaka,83,12680
Melaka,84,12782
Melaka,85,13017
Melaka,86,13381
Melaka,87,13813
Melaka,88,14273
Melaka,89,14842
Melaka,90,15181
Melaka,91,15570
Melaka,92,16147
Melaka,93,17186
Melaka,94,18057
Melaka,95,18833
Negeri Sembilan,1,1297
Negeri Sembilan,2,1604
Negeri Sembilan,3,1882
Negeri Sembilan,4,2002
Negeri Sembilan,5,2143
Negeri Sembilan,6,2230
Negeri Sembilan,7,2354
Negeri Sembilan,8,2446
Negeri Sembilan,9,2541
Negeri Sembilan,10,2622
Negeri Sembilan,11,2704
Negeri Sembilan,12,2790
Negeri Sembilan,13,2872
Negeri Sembilan,14,2913
Negeri Sembilan,15,2978
Negeri Sembilan,16,3040
Negeri Sembilan,17,3087
Negeri Sembilan,18,3155
Negeri Sembilan,19,3226
Negeri Sembilan,20,3296
Negeri Sembilan,21,3343
Negeri Sembilan,22,3417
Negeri Sembilan,23,3468
Negeri Sembilan,24,3543
Negeri Sembilan,25,3599
Negeri Sembilan,26,3680
Negeri Sembilan,27,3764
Negeri Sembilan,28,3815
Negeri Sembilan,29,3888
Negeri Sembilan,30,3994
Negeri Sembilan,31,4057
Negeri Sembilan,32,4116
Negeri Sembilan,33,4169
Negeri Sembilan,34,4247
Negeri Sembilan,35,4335
Negeri Sembilan,36,4392
Negeri Sembilan,37,4477
Negeri Sembilan,38,4532
Negeri Sembilan,39,4598
Negeri Sembilan,40,4662
Negeri Sembilan,41,4746
Negeri Sembilan,42,4851
Negeri Sembilan,43,4948
Negeri Sembilan,44,5043
Negeri Sembilan,45,5129
Negeri Sembilan,46,5204
Negeri Sembilan,47,5256
Negeri Sembilan,48,5357
Negeri Sembilan,49,5463
Negeri Sembilan,50,5543
Negeri Sembilan,51,5656
Negeri Sembilan,52,5736
Negeri Sembilan,53,5819
Negeri Sembilan,54,5956
Negeri Sembilan,55,6081
Negeri Sembilan,56,6183
Negeri Sembilan,57,6300
Negeri Sembilan,58,6390
Negeri Sembilan,59,6464
Negeri Sembilan,60,6559
Negeri Sembilan,61,6700
